2026-01-20 19:57:00.552; INFO; StreamPlugin; 24820; 3876] StreamPlugin::SendRequest, (Request)From SystemFeature(0x04) to {4DC2157A-9687-45EB-982E-E5328E617509}
2026-01-20 19:57:00.552; VERBOSE; StreamPlugin; 24820; 3876] StreamPlugin::SendRequest, requst: {
  AppTag:SystemFeature_TouchPad,
  App_GUID:{e7d986da-d5db-45f4-9d7a-47ee736f55e3},
  App_Profile:1,
  Cmd:ScenarioProfileReceiveServiceMessage,
  Command:AppProfileChange,
}
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] ScenarioProfile::DoScenarioProfileReceiveServiceMessage Begin
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] (ScenarioProfile)DoScenarioProfileReceiveServiceMessage: Command : AppProfileChange
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: Enter
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: wait lock_guard
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: pass lock_guard
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)LoadJsonFile: Enter
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)LoadJsonFile: Finish
2026-01-20 19:57:00.552; VERBOSE; ScenarioProfile; 24820; 3876] (ProfileHelper)SetCache: AppTag :SystemFeature_TouchPad, AppType :Service_App, AppUID :{e7d986da-d5db-45f4-9d7a-47ee736f55e3}, Mode :1, ModeKey :1,
2026-01-20 19:57:00.553; VERBOSE; ScenarioProfile; 24820; 3876] (JsonHelper)SaveJsonFile: Enter
